Base location,Destination,Mode of transport,CO2 Emission (in Kg)
Japan,Canada,Train,1838.338249
Japan,Australia,Air,2.168732445
Japan,Canada,Sea,238.1004667
Belgium,Italy,Sea,309.3386015
USA,London,Sea,712.846028
Japan,Brazil,Air,29.97357268
Belgium,Australia,Train,699.5581345
China,Canada,Air,7.326860679
Germany,London,Sea,76.95362509
Japan,Italy,Train,2575.787164
Belgium,Australia,Train,2034.776622
Germany,Brazil,Sea,615.6731973
Belgium,Brazil,Train,1167.233714
Belgium,London,Sea,117.6196362
China,Brazil,Train,3961.202723
Germany,Italy,Air,59.09868471
Japan,Italy,Train,1334.503649
China,Australia,Sea,115.1704798
Germany,Italy,Train,2778.910118
Japan,Italy,Air,21.53895668
China,Brazil,Train,699.2119376
China,Brazil,Air,2.025871857
Germany,Australia,Sea,680.6568821
China,London,Train,767.2554133
USA,Canada,Sea,44.08301813
Japan,Australia,Air,4.287421718
China,Canada,Sea,384.0183113
Japan,Australia,Train,2770.569885
Japan,Italy,Air,8.177713633
Germany,Italy,Air,2.044886439
Belgium,London,Air,14.31666848
Germany,Australia,Air,4.356252466
Japan,Italy,Sea,365.2601423
USA,Brazil,Air,20.74195353
Japan,London,Air,26.06660555
China,Brazil,Sea,159.4153482
USA,Brazil,Train,4874.522608
Belgium,Australia,Sea,652.5090431
USA,Canada,Air,17.65410576
Germany,Canada,Air,2.281426402
Japan,London,Train,1668.330335
China,Australia,Train,336.4849599
Belgium,Italy,Sea,692.1274156
Belgium,Canada,Train,715.8754936
USA,Brazil,Sea,816.6743527
USA,London,Train,5651.91887
USA,Italy,Air,11.36637271
Germany,London,Sea,368.0711528
Japan,London,Train,2820.690642
Belgium,Australia,Sea,61.80473823
USA,Australia,Train,2779.221878
Japan,Australia,Sea,19.93444068
Germany,Brazil,Train,632.3171991
Japan,Australia,Train,3201.704179
Belgium,Italy,Sea,671.3474383
Belgium,Canada,Sea,170.3137891
Japan,Brazil,Sea,205.4455081
China,Brazil,Sea,1605.599985
Belgium,Australia,Sea,217.045579
Germany,Italy,Train,583.8135081
USA,Italy,Air,14.91352811
Belgium,Italy,Air,9.280602914
Belgium,Italy,Sea,112.2582806
USA,Canada,Sea,94.04359011
China,London,Sea,179.7899851
China,London,Air,12.25739085
Belgium,Canada,Train,1854.228856
Belgium,Canada,Sea,1394.58943
Germany,Brazil,Air,17.51483062
China,London,Train,8274.338608
Germany,Italy,Air,8.731236153
Belgium,Australia,Sea,429.6104467
Germany,Australia,Air,8.788870758
Japan,Brazil,Sea,308.2388181
China,Canada,Air,16.71691249
Belgium,Canada,Sea,263.6399397
China,Brazil,Train,5242.992449
Germany,Canada,Air,44.19729084
USA,Italy,Train,2092.462141
Belgium,Brazil,Train,2821.303536
Belgium,Canada,Air,9.628382757
Japan,Canada,Train,3663.223236
Belgium,Australia,Train,3471.244176
Japan,Brazil,Train,3673.715507
China,Brazil,Sea,744.1331227
China,Brazil,Air,8.831562286
Germany,Italy,Sea,285.7851285
Belgium,London,Sea,54.7130741
Germany,London,Air,12.25543419
Japan,London,Air,2.02410689
USA,Brazil,Sea,112.7805929
Belgium,Italy,Air,2.640015559
China,Australia,Train,1032.237748
USA,Australia,Sea,192.1141415
Germany,Italy,Train,885.5168297
China,Canada,Sea,294.0835188
China,Canada,Sea,1384.471604
Belgium,Canada,Train,480.1483996
USA,London,Sea,553.5345828
China,London,Sea,516.4567173
Japan,Australia,Sea,33.90178916
China,Italy,Air,26.40696103
Germany,Canada,Air,9.850645338
Belgium,London,Train,4653.126227
Japan,Brazil,Air,13.27945139
Japan,Canada,Train,814.9325204
Japan,Australia,Train,520.632082
USA,London,Sea,161.5604257
China,Canada,Sea,331.9993249
USA,Italy,Train,337.7669978
Japan,Australia,Sea,357.7962116
Japan,Italy,Train,1425.148195
USA,Australia,Sea,304.8910565
Belgium,London,Sea,967.0408567
Germany,Brazil,Air,4.96683855
USA,London,Air,7.252608645
Japan,London,Sea,918.2583634
China,Australia,Train,305.5263626
Germany,Brazil,Air,3.479721361
Japan,Italy,Sea,539.9433939
Belgium,Brazil,Air,14.41765939
Belgium,Canada,Air,40.6366371
Germany,London,Air,2.6355912
Germany,Australia,Sea,114.5195651
USA,Brazil,Air,19.89378777
Germany,Australia,Train,3257.784715
Japan,Canada,Train,2546.300221
Belgium,London,Air,11.83830975
China,Italy,Sea,325.6495013
Belgium,Australia,Sea,99.67741266
Germany,Australia,Train,1464.236416
Germany,Brazil,Train,1121.269461
Belgium,Australia,Air,22.79346402
Japan,Australia,Train,3522.713454
China,Italy,Train,771.8250588
Germany,London,Train,391.8389057
Japan,Australia,Sea,368.9343356
USA,Brazil,Sea,51.01773886
USA,London,Sea,218.9432069
Belgium,Australia,Train,4287.974212
Belgium,Brazil,Sea,120.3531914
Germany,London,Air,10.49149814
China,Italy,Sea,985.29096
USA,Italy,Train,2153.923425
Belgium,Australia,Sea,771.9449062
Belgium,Australia,Air,0.477109068
China,Australia,Train,3074.063078
China,Canada,Sea,527.9094134
Japan,Italy,Air,12.50120553
Japan,Italy,Sea,336.3185758
Japan,London,Air,4.361912606
China,Brazil,Air,4.977319735
USA,London,Train,1071.522085
Germany,Australia,Sea,78.72985921
China,London,Train,690.1855407
Japan,Brazil,Air,19.31379615
Belgium,Canada,Train,721.1942941
Japan,Canada,Train,689.2214073
Belgium,Italy,Sea,168.3153716
Japan,Brazil,Train,7998.752439
Japan,London,Air,26.6654071
USA,Brazil,Sea,150.3441952
Japan,Australia,Sea,230.3464304
Belgium,Brazil,Sea,438.25929
China,London,Train,4119.650168
Germany,Brazil,Train,1931.786197
Belgium,Australia,Train,1355.074541
Japan,Brazil,Train,6936.113284
USA,Australia,Train,5637.38802
Belgium,Brazil,Sea,31.58884278
China,Brazil,Air,4.197165565
USA,Australia,Train,2611.627151
USA,Italy,Sea,641.7548762
Germany,Italy,Sea,282.1116611
Belgium,Canada,Train,2019.160744
China,Australia,Air,7.935595655
China,London,Sea,767.8426505
USA,Italy,Train,1697.377823
Belgium,Australia,Sea,145.4433283
Belgium,Canada,Air,2.860204867
China,Italy,Train,8089.192793
Belgium,Italy,Sea,194.9645535
China,Brazil,Train,448.7578702
Belgium,London,Air,2.96652502
Belgium,Australia,Sea,194.4638634
Belgium,London,Air,14.27535062
Belgium,Canada,Sea,39.25182441
Belgium,Canada,Train,276.5516914
Germany,Italy,Sea,207.4618772
Germany,Brazil,Sea,129.082439
Japan,Italy,Sea,33.18423043
Germany,London,Sea,226.6800237
Japan,London,Train,3995.894955
Germany,Brazil,Air,4.247086914
USA,Italy,Train,2246.643687
USA,Italy,Sea,86.75503618
Belgium,London,Train,1156.562566
Germany,London,Sea,767.6143727
Japan,Australia,Sea,562.4888064
China,Italy,Sea,454.8009742
Germany,Brazil,Sea,901.3297822
USA,London,Sea,86.60117445
Germany,Canada,Train,5057.991339
USA,Brazil,Sea,329.8970344
USA,Brazil,Train,1938.641821
Belgium,Australia,Train,566.443346
Belgium,Australia,Air,7.086846098
Belgium,London,Air,6.836372195
Japan,London,Sea,41.45162054
China,Italy,Air,6.388922275
Japan,Brazil,Air,15.94471827
Germany,Canada,Sea,185.0622454
Germany,Italy,Air,11.81753956
Belgium,Canada,Train,4299.05965
Japan,London,Sea,203.1976905
Japan,Canada,Sea,111.4398256
Japan,Canada,Train,1438.365122
Germany,Brazil,Train,3966.517506
USA,Italy,Sea,204.4284376
Belgium,Brazil,Train,1846.006694
China,Australia,Train,423.5188413
China,London,Train,954.6653822
Belgium,Canada,Sea,330.0884109
Belgium,Australia,Air,21.60287005
Belgium,Canada,Train,3442.742749
Japan,Brazil,Sea,384.5480074
Germany,Brazil,Sea,103.5373449
Japan,Italy,Train,1420.894985
Japan,Canada,Sea,398.0772606
China,Brazil,Train,700.6096745
Belgium,Australia,Air,17.66701769
USA,Australia,Sea,247.1234787
Germany,London,Air,5.873613389
Germany,Canada,Air,6.455588113
Germany,Australia,Sea,82.08295518
USA,London,Sea,188.3752291
Belgium,London,Air,4.387395265
Germany,London,Air,6.691249248
China,Australia,Sea,785.0709799
Japan,London,Sea,156.4357223
China,London,Air,9.550813852
USA,Canada,Sea,115.5888611
China,London,Air,14.15740916
Germany,London,Train,1895.611162
China,Australia,Sea,402.4010854
Japan,Brazil,Air,22.59513507
China,Brazil,Air,17.21098925
Belgium,Italy,Air,30.82037565
Belgium,Canada,Sea,541.6400486
USA,Italy,Air,9.623020257
Belgium,Australia,Train,303.6136895
USA,Canada,Train,1303.278218
Belgium,Brazil,Sea,445.4524955
Japan,London,Sea,85.07543463
China,Italy,Sea,417.6446864
China,Australia,Sea,61.91931264
Belgium,Brazil,Sea,342.0452553
Japan,Australia,Sea,324.3049511
USA,Canada,Sea,272.4376496
Belgium,Italy,Air,24.59544745
Germany,Australia,Air,2.068777807
USA,Australia,Air,8.904392088
Japan,London,Air,4.368872815
Belgium,Italy,Air,13.76437924
Germany,London,Train,878.7698737
China,Canada,Sea,239.3397409
USA,Italy,Train,3132.328636
USA,Italy,Train,153.2221171
Japan,Australia,Air,2.624380543
Belgium,Canada,Train,268.9392444
USA,Canada,Sea,145.2869481
USA,London,Sea,163.8767972
Japan,London,Train,180.8225825
China,London,Sea,89.99328682
Japan,Italy,Train,1363.841043
Belgium,London,Sea,995.6211908
Belgium,Canada,Train,1231.997081
Belgium,Brazil,Sea,129.4374679
Germany,London,Sea,78.44504611
China,Australia,Train,2006.025791
China,London,Sea,728.542694
Japan,Brazil,Air,22.83443524
China,Italy,Sea,223.8983072
China,Canada,Air,2.37228888
Belgium,Brazil,Train,419.9368001
Belgium,Canada,Sea,313.4022308
China,Italy,Air,5.297209836
Belgium,Brazil,Air,21.19518787
Japan,Italy,Train,1074.876272
Japan,Australia,Air,79.90653539
China,Brazil,Train,936.3546326
Japan,Brazil,Air,10.61568695
USA,Canada,Air,23.02918986
China,Australia,Sea,895.3594606
USA,London,Sea,106.3548627
USA,Canada,Sea,80.62147197
Japan,London,Sea,206.7749856
China,Australia,Air,23.22906901
Belgium,London,Train,1075.43259
Germany,Brazil,Air,4.373575017
Belgium,Italy,Train,1694.659566
Belgium,Canada,Sea,189.3462565
Germany,Italy,Air,36.49570799
Belgium,Australia,Air,15.16387622
USA,Brazil,Air,2.492328132
China,Canada,Air,15.87163292
Belgium,Australia,Train,351.6610793
USA,Italy,Sea,1154.703149
Belgium,Italy,Sea,186.2301296
Belgium,Canada,Train,205.3417547
USA,Brazil,Sea,67.89464969
Belgium,Brazil,Air,9.73374156
Germany,Canada,Air,2.938978631
Belgium,London,Sea,180.5865593
Belgium,Canada,Sea,383.2005574
USA,London,Air,17.89649465
Japan,Australia,Sea,864.8714086
USA,London,Sea,127.7260635
USA,Italy,Sea,379.2241561
China,Brazil,Train,8553.570262
USA,Italy,Sea,242.1934053
China,Canada,Sea,124.3026262
USA,Australia,Sea,281.833985
China,London,Air,4.818300911
USA,Italy,Air,1.191949798
Belgium,Canada,Sea,214.4945882
Japan,Australia,Train,6121.919655
China,Canada,Air,39.99004904
USA,Australia,Sea,38.16536161
Germany,London,Train,2057.09698
China,Canada,Air,33.82834047
USA,Australia,Train,2539.907945
Belgium,London,Air,3.996478269
China,Italy,Train,986.2187113
Belgium,Australia,Air,3.131937053
Belgium,London,Train,2786.18276
Japan,Australia,Sea,187.4993396
Germany,Australia,Sea,263.6372766
Japan,Canada,Air,40.54701894
China,London,Sea,962.0167126
Belgium,Canada,Sea,216.4924926
China,Brazil,Train,3383.446457
Germany,Brazil,Train,2434.63928
Germany,Canada,Train,707.3037674
USA,Australia,Sea,298.0679031
USA,Australia,Sea,71.40115817
China,London,Air,4.75942358
China,Canada,Air,5.89427545
Germany,London,Sea,118.7301441
USA,Australia,Sea,58.22298001
Belgium,Canada,Train,5163.055465
China,Canada,Train,766.3389416
Japan,London,Sea,460.3176099
USA,Canada,Air,4.012764654
USA,Canada,Air,4.400567409
China,London,Train,1858.622276
Belgium,Brazil,Sea,301.1317412
China,Canada,Train,2944.769905
Japan,Italy,Air,9.737793693
China,London,Sea,229.3479363
USA,Italy,Air,9.916587096
Japan,Brazil,Train,2888.592954
Belgium,Australia,Air,6.083371324
USA,Brazil,Air,10.96764746
Germany,Canada,Air,10.02743833
Japan,Italy,Air,0.872835352
Belgium,London,Air,13.08612223
Belgium,Brazil,Sea,92.54085933
USA,London,Sea,962.6400514
Germany,Australia,Sea,657.6898346
China,London,Train,2935.21047
Belgium,Brazil,Sea,540.2686052
Belgium,London,Train,1719.884208
USA,Italy,Sea,711.3398287
China,London,Sea,104.7554778
Germany,Canada,Sea,1058.877554
China,Canada,Air,6.896069266
Belgium,London,Sea,105.0015656
Germany,Italy,Sea,305.343001
USA,London,Sea,298.6123177
Belgium,Brazil,Train,1627.325281
USA,Brazil,Train,1933.149002
Germany,London,Sea,768.5928968
USA,Canada,Air,3.743476036
China,Italy,Sea,155.1088325
USA,Brazil,Air,1.456064409
Germany,London,Sea,431.948691
Belgium,Australia,Sea,490.9639159
Japan,Canada,Sea,210.8743984
Belgium,Australia,Sea,93.06518037
USA,Italy,Air,10.11504964
Germany,Canada,Sea,231.1803639
Japan,Italy,Train,166.196031
Germany,Australia,Air,28.21782444
Belgium,Brazil,Train,9174.255392
USA,Brazil,Air,2.763078346
China,Canada,Sea,130.1080965
Belgium,Australia,Train,407.2356254
Japan,London,Train,1504.902034
USA,Brazil,Sea,154.0870506
USA,Canada,Air,6.182836268
Germany,Australia,Train,692.3884622
Germany,Italy,Sea,294.294489
Belgium,Italy,Train,1964.905156
Japan,Brazil,Air,8.258206194
Germany,Brazil,Train,4542.091224
Belgium,Australia,Sea,178.2364397
China,Brazil,Sea,247.8483499
Belgium,Italy,Train,722.2891974
Belgium,Australia,Air,4.759045285
Japan,Canada,Air,3.091588024
Germany,Australia,Sea,344.6746955
Belgium,London,Air,9.704532309
Japan,Italy,Air,37.5127532
Japan,London,Train,2038.537567
Japan,Canada,Train,1832.777899
Germany,London,Train,1500.334597
USA,Brazil,Train,1434.95091
Japan,Canada,Sea,532.1536213
Germany,Australia,Sea,25.13271259
Belgium,London,Sea,464.6203279
Japan,Brazil,Sea,841.6989666
Belgium,Canada,Sea,469.649596
Germany,London,Train,2685.973569
USA,Brazil,Train,2103.772054
USA,London,Air,4.112720494
Belgium,London,Train,563.3139991
Japan,Brazil,Sea,36.28991765
Belgium,Brazil,Train,4027.861573
Japan,Brazil,Sea,197.7870542
USA,Brazil,Air,6.473782822
USA,Brazil,Sea,1039.204847
Germany,Brazil,Sea,128.9140883
China,Australia,Air,4.130538405
China,Brazil,Air,3.369298618
Japan,London,Sea,238.1439686
Belgium,Italy,Train,585.4055209
Japan,Italy,Train,5211.351472
Germany,London,Air,9.198248346
Japan,Italy,Air,34.82956106
Germany,Brazil,Sea,51.18903941
USA,Brazil,Sea,459.4495357
China,Italy,Sea,82.48143072
China,Canada,Air,17.32469679
Germany,Italy,Sea,290.8433313
Germany,Brazil,Air,10.37421087
China,Australia,Sea,666.7182937
China,Canada,Air,21.59327653
Belgium,Canada,Air,2.201352324
Germany,London,Train,1317.674946
Belgium,Canada,Train,5010.483286
China,London,Train,10307.22327
USA,Canada,Sea,461.4070457
China,Italy,Sea,100.4280839
Belgium,Italy,Air,3.053217941
Japan,Canada,Train,2518.139094
Germany,Brazil,Sea,448.5135658
China,Australia,Train,490.2866707
Germany,Canada,Air,9.465971265
USA,Italy,Air,27.73508534
Belgium,Brazil,Sea,148.7190234
USA,Canada,Air,15.18277732
China,London,Sea,53.55495139
USA,London,Train,437.4135529
Belgium,London,Sea,573.6791884
Japan,Australia,Train,2436.431269
Germany,Brazil,Air,9.567788604
Germany,Canada,Train,1664.52276
Germany,Italy,Sea,53.67347383
Belgium,London,Air,0.86737901
Japan,Australia,Sea,161.4583104
China,Australia,Train,531.8491623
Japan,London,Air,0.652338176
Japan,Canada,Sea,208.3602799
USA,Canada,Sea,366.0139315
Japan,Italy,Sea,613.2396959
Japan,Australia,Train,921.8616024
Belgium,Brazil,Air,3.776154172
Japan,Italy,Train,1577.057641
Japan,Brazil,Sea,131.0447468
Germany,Italy,Train,3166.961085
Belgium,Canada,Train,1766.339774
Germany,Italy,Sea,125.4158347
Belgium,London,Air,0.687104593
Germany,London,Air,15.69708998
China,Brazil,Sea,23.70479229
Belgium,Australia,Train,2275.455059
Belgium,Australia,Train,1029.678606
Japan,Brazil,Air,8.224291131
USA,London,Sea,131.1531211
Germany,Italy,Air,4.598742429
Japan,Canada,Train,1817.155057
China,Brazil,Train,5765.396073
Japan,Australia,Air,2.609268634
USA,London,Air,13.32997428
China,Brazil,Train,576.5633925
Japan,Canada,Air,10.30641158
Japan,London,Train,2268.372842
Japan,Italy,Air,30.1307152
USA,Australia,Train,360.1779952
Germany,Canada,Air,8.33113433
China,Canada,Sea,12.28264939
Japan,Canada,Sea,149.1631676
China,Australia,Sea,558.8479698
Japan,Brazil,Sea,1001.749373
Germany,Italy,Sea,574.9230838
USA,London,Train,8154.997923
China,Brazil,Train,2292.07648
Belgium,Australia,Air,38.03621216
Japan,Italy,Air,9.11906305
Germany,Australia,Air,13.71301332
Belgium,London,Air,14.5847308
Belgium,Italy,Air,2.249906473
USA,Canada,Train,3582.206063
Germany,London,Train,890.7932813
USA,Canada,Air,9.825941107
Belgium,Italy,Air,25.41591989
Germany,Australia,Air,3.58277571
Belgium,Brazil,Train,5326.882064
Germany,London,Train,562.0529783
Belgium,Brazil,Air,11.20522966
Germany,Italy,Air,5.575058545
China,London,Sea,200.0740557
China,Italy,Sea,326.2987868
Belgium,Australia,Train,11250.7006
Japan,Brazil,Train,3750.57308
Belgium,Canada,Sea,173.8477181
China,Italy,Train,1048.850692
USA,Australia,Sea,334.3057803
China,Canada,Sea,65.29517349
Japan,Canada,Train,1026.970302
Belgium,Australia,Sea,466.4185529
USA,Italy,Sea,173.4340591
Belgium,Italy,Sea,375.2349682
Germany,Australia,Air,8.218387118
USA,Brazil,Train,331.3017327
Japan,Italy,Air,4.710266985
Germany,Australia,Train,1664.038734
China,Brazil,Sea,190.8090541
Japan,Canada,Sea,60.6015535
China,Brazil,Sea,151.8247707
Japan,Italy,Air,9.912991063
USA,Brazil,Sea,179.1269123
Japan,Italy,Air,1.056884203
Belgium,Canada,Air,12.57565606
Germany,Brazil,Air,13.40261484
Germany,Italy,Sea,706.0652814
Germany,Australia,Sea,474.4383191
Japan,Canada,Sea,64.76273869
Belgium,Australia,Air,4.028325726
Germany,Italy,Sea,156.1455947
Belgium,Brazil,Train,1800.829824
China,Canada,Air,35.3775357
Belgium,Australia,Train,1070.074995
China,London,Air,3.932987541
USA,London,Air,3.744857866
Germany,Australia,Train,716.0734402
China,Canada,Train,1368.998291
USA,London,Train,2403.095203
Belgium,Brazil,Train,214.2901784
China,Brazil,Train,8231.623445
USA,Canada,Air,6.229439929
Japan,Canada,Air,2.624153977
Belgium,Australia,Air,5.601867921
Japan,London,Train,755.2212003
Germany,London,Air,6.037675988
Belgium,London,Air,26.13896832
Belgium,Brazil,Air,6.548421436
Belgium,Canada,Train,1229.681783
Belgium,Australia,Sea,306.1577326
Japan,Brazil,Sea,950.6002965
Japan,Brazil,Train,2924.866687
USA,Australia,Air,23.08509903
Belgium,Canada,Train,7782.644385
Germany,Canada,Sea,271.3454806
China,Brazil,Train,2049.872981
Germany,London,Sea,670.0229687
Belgium,Italy,Train,9299.512809
USA,Canada,Sea,154.1645964
Germany,London,Sea,161.2967953
USA,Italy,Air,1.819659573
China,Australia,Train,1898.599887
Belgium,Brazil,Sea,183.1844584
China,Brazil,Sea,52.85498548
USA,Italy,Sea,101.4895901
China,Australia,Sea,186.8295148
Japan,London,Air,7.554635728
China,Canada,Air,5.355391317
Germany,Italy,Air,6.839957834
Japan,Australia,Sea,700.8153547
Japan,London,Air,4.923735906
USA,Brazil,Train,3141.097444
Germany,Australia,Sea,102.4517365
USA,Canada,Sea,160.9842085
Japan,Canada,Sea,302.1978491
Germany,Brazil,Air,24.66766645
Germany,Brazil,Sea,303.2174573
China,Canada,Sea,488.7957837
China,London,Sea,90.16311589
Japan,London,Air,2.709864334
Japan,Australia,Train,5467.380974
Japan,Australia,Sea,639.2792485
China,Canada,Air,6.41434559
Japan,London,Sea,440.7288402
Japan,Canada,Train,5428.157651
USA,Italy,Train,6298.546771
Germany,Italy,Train,1979.504389
USA,Brazil,Sea,430.3164035
Belgium,Brazil,Train,6455.32893
USA,Australia,Air,20.20111694
Belgium,London,Train,3872.070795
Germany,Australia,Air,3.085416672
China,Canada,Air,5.488081015
China,Australia,Train,1138.146594
Japan,Brazil,Train,1148.985034
USA,Canada,Sea,157.596922
Germany,Australia,Train,2116.394547
China,Italy,Air,19.29158598
China,Brazil,Sea,408.1677963
Germany,Italy,Air,23.39209889
USA,Australia,Train,2714.376902
China,Australia,Air,3.399737968
Belgium,Canada,Sea,127.4911849
Belgium,Italy,Train,70.91770623
Germany,London,Train,962.8120279
USA,Canada,Sea,263.5661828
Germany,Italy,Sea,72.10136776
USA,Italy,Sea,173.6729278
Germany,Italy,Train,2365.936087
Germany,London,Sea,450.0227768
USA,Brazil,Train,4736.57953
USA,Australia,Train,1466.081697
Germany,Brazil,Air,2.584558115
China,Canada,Train,1595.540854
China,Brazil,Train,2669.645023
China,Australia,Sea,526.8082926
Belgium,Italy,Air,4.621769792
China,Italy,Train,2445.357998
USA,Canada,Sea,367.3004664
China,Italy,Train,2104.827301
Japan,Australia,Train,1962.35123
USA,Italy,Sea,255.3067514
USA,Australia,Sea,47.57009334
Belgium,Canada,Air,2.220442459
USA,Canada,Train,238.3998734
China,Australia,Air,12.06586786
China,Brazil,Air,7.251072941
Germany,Australia,Sea,13.59310219
Japan,Brazil,Sea,331.9861008
USA,London,Sea,400.8123138
Belgium,Brazil,Train,7926.505996
China,Australia,Air,11.46264886
Japan,Canada,Sea,343.1049882
Germany,Australia,Sea,1155.781334
USA,London,Air,10.09511775
China,Italy,Air,5.129882382
Belgium,Brazil,Train,3040.980731
Belgium,Brazil,Air,15.24708632
Belgium,Australia,Air,32.2576969
USA,Australia,Sea,258.8740474
Germany,Brazil,Air,2.657500628
Germany,Brazil,Air,18.98880134
Germany,Brazil,Sea,200.3496301
Belgium,London,Train,6315.997118
Japan,Brazil,Train,659.6144303
Belgium,Canada,Air,36.83796351
Germany,Italy,Air,8.113358448
USA,Canada,Train,788.6224681
Belgium,Brazil,Train,545.8295054
USA,Brazil,Air,10.59667311
Japan,Australia,Sea,103.4690155
Japan,Brazil,Air,5.019492197
China,Brazil,Train,3755.397508
Japan,Brazil,Sea,73.53860225
Japan,Brazil,Sea,297.4805872
Belgium,Canada,Sea,275.9494615
Germany,London,Train,931.6052695
China,Brazil,Sea,443.1361123
Belgium,London,Sea,848.5950555
Belgium,London,Sea,253.857026
USA,Brazil,Air,3.103260193
Japan,Canada,Sea,247.0723456
Belgium,Italy,Train,830.062222
USA,Italy,Air,8.923038532
Japan,Canada,Train,1893.069435
China,Canada,Sea,279.3162001
China,London,Sea,365.5618382
Germany,Brazil,Air,44.14304972
Belgium,Italy,Train,5397.120367
Germany,Canada,Air,20.35019026
USA,London,Sea,90.92696937
Belgium,Canada,Sea,857.5281137
Japan,Australia,Air,5.383879762
Japan,Italy,Train,2175.507653
Belgium,Brazil,Sea,173.057985
Belgium,Australia,Train,942.9026123
Belgium,Brazil,Sea,277.8788765
Germany,Canada,Sea,44.8614821
Japan,Brazil,Air,4.038165366
Belgium,Brazil,Air,5.87671351
Japan,Canada,Air,12.21554333
Germany,Italy,Air,25.37756916
USA,Australia,Sea,125.3608493
China,Brazil,Sea,640.6506697
Belgium,Italy,Air,19.50913119
Belgium,Brazil,Train,2001.981675
Belgium,Canada,Air,19.68986162
USA,Canada,Sea,151.16989
USA,Australia,Air,5.022648342
Germany,Brazil,Air,4.381499189
Belgium,Canada,Sea,158.7818731
Japan,Italy,Sea,150.5778275
Japan,Canada,Train,1043.744807
Germany,Australia,Air,5.253731794
Germany,Italy,Air,9.485153944
Belgium,London,Sea,123.9269685
China,Italy,Air,18.47411594
USA,Brazil,Sea,68.25277764
Japan,London,Sea,196.5324921
Germany,Brazil,Train,1746.384646
USA,London,Air,2.633686752
Germany,Italy,Train,395.8327487
Germany,London,Train,1124.140635
Germany,Australia,Train,1012.98394
Germany,Australia,Train,5280.781786
Germany,London,Sea,324.4354202
Germany,Italy,Train,847.2565516
Japan,London,Sea,133.4701012
Germany,London,Air,2.62371759
Japan,Brazil,Sea,1547.777347
USA,Brazil,Train,1996.620602
Belgium,Brazil,Air,7.419993486
Belgium,London,Sea,421.8923089
Japan,Brazil,Sea,52.51789033
Japan,Italy,Train,2391.919932
China,Italy,Train,1956.750919
Germany,Brazil,Train,2385.714066
Japan,Australia,Train,1137.050496
Japan,London,Train,1108.544486
Belgium,Australia,Train,5122.114199
Belgium,Italy,Air,1.95556722
USA,Italy,Sea,241.9736481
China,Australia,Sea,53.38584503
China,Brazil,Air,12.65341213
Japan,Canada,Train,737.1695807
Germany,Brazil,Air,22.39427499
Belgium,Brazil,Train,3799.791228
Japan,London,Sea,389.3610017
China,Brazil,Air,2.671673189
Germany,London,Air,5.719665913
Japan,Australia,Train,5750.043137
China,Brazil,Train,2289.179311
Japan,Canada,Sea,71.09498328
Germany,Italy,Sea,109.1816613
Japan,Canada,Air,9.351202822
Japan,Brazil,Train,715.5954192
Germany,Brazil,Sea,45.59830541
China,Italy,Air,10.73268323
Belgium,Canada,Train,1548.987027
Belgium,Australia,Air,9.337754122
China,Canada,Sea,228.4409476
Belgium,Italy,Train,629.2947839
USA,London,Air,2.275326696
Belgium,London,Sea,138.0835757
China,Australia,Train,1118.917617
China,London,Train,6131.91629
Germany,Brazil,Sea,138.7868416
Germany,Canada,Air,33.97893265
Germany,London,Air,2.833868797
China,Italy,Air,35.90933186
Japan,Australia,Train,2347.66544
China,Italy,Train,1178.831683
China,Brazil,Air,16.24528472
China,Brazil,Sea,185.4591825
China,Italy,Air,2.352537739
USA,London,Sea,25.60594084
Belgium,Italy,Sea,103.6089134
USA,Brazil,Sea,286.9196616
USA,Australia,Air,2.517680808
Belgium,Brazil,Air,5.643389293
Belgium,London,Train,2782.719379
China,Brazil,Air,5.137329482
China,Australia,Air,7.74379207
Japan,London,Sea,319.8489261
Germany,Italy,Air,8.800510394
Japan,Italy,Sea,909.0117158
USA,Australia,Air,10.75739813
USA,Canada,Sea,47.69878318
China,Australia,Sea,215.8637553
Germany,Italy,Train,844.4631523
USA,Australia,Air,30.83370215
Germany,Australia,Air,27.78216767
Japan,Canada,Train,647.6353727
Belgium,Australia,Air,6.878286924
Belgium,Canada,Air,16.76270779
USA,Canada,Air,21.64213249
China,Italy,Sea,248.9946378
Germany,Italy,Train,2878.382645
Japan,Australia,Train,1834.373285
Japan,London,Sea,63.24259785
USA,Australia,Air,15.1651469
Japan,Canada,Sea,204.8428587
Belgium,Brazil,Sea,183.4693439
USA,Australia,Train,601.3994711
USA,Brazil,Air,11.85797866
Japan,Italy,Air,2.964646908
Japan,Canada,Air,4.351994068
Belgium,Australia,Sea,166.2601939
China,Canada,Sea,183.843926
China,Brazil,Sea,814.8145912
Germany,Brazil,Sea,193.5575793
USA,London,Air,0.797243661
Germany,London,Air,1.367058488
China,Brazil,Sea,199.1750669
China,Italy,Air,5.359766973
China,Australia,Sea,94.42574806
Japan,Brazil,Sea,232.5781044
USA,Italy,Air,4.360716562
USA,London,Air,9.934858288
China,Brazil,Sea,99.0838409
China,Brazil,Air,8.493231239
Germany,London,Sea,1164.945068
Japan,London,Air,14.88902089
USA,Canada,Air,18.00450439
Belgium,Canada,Air,9.978629341
Belgium,Italy,Air,25.44412754
Germany,Italy,Train,1356.902378
China,London,Train,896.8788591
China,Australia,Train,3669.878614
